"Name","State","Notes","User","Tags","Created","Runtime","Sweep","graph_type","model","src","target","src-size","target-size","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"triangle-powerlaw-clustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-05-30T11:13:57.000Z","327","","powerlaw","triangle","clustered","unclustered","1000","1000","11","-7.524085998535156","0.47173410654067993","0.6848697394789579","0.6397795591182365"
"triangle-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-30T11:12:54.000Z","27","","powerlaw","triangle","unclustered","clustered","100","1000","44","-2.122558116912842","-0.8735636472702026","0.6479591836734694","0.6407815631262525"
"triangle-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-30T11:12:33.000Z","19","","powerlaw","triangle","unclustered","clustered","100","1000","16","-1.9223551750183103","0.2997550368309021","0.4744897959183674","0.6057114228456913"
"triangle-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-30T11:12:07.000Z","24","","powerlaw","triangle","unclustered","clustered","100","1000","35","-2.221684455871582","-1.2186365127563477","0.6581632653061225","0.5661322645290581"
"triangle-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-30T11:11:38.000Z","27","","powerlaw","triangle","clustered","unclustered","100","1000","17","-1.4272630214691162","-0.016656577587127686","0.7755102040816326","0.5390781563126252"
"triangle-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-30T11:10:26.000Z","69","","powerlaw","triangle","clustered","unclustered","100","1000","72","-1.7899888753890991","-0.6820773482322693","0.8061224489795918","0.5881763527054108"
"triangle-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-30T11:10:01.000Z","22","","powerlaw","triangle","clustered","unclustered","100","1000","7","-1.2576003074645996","-0.3927726149559021","0.7346938775510204","0.6047094188376754"
"triangle-powerlaw-clustered-1000-unclustered-1000-2","finished","-","niklasdewally","","2023-05-30T10:57:21.000Z","365","","powerlaw","triangle","clustered","unclustered","1000","1000","14","-7.475259304046631","-0.18264925479888916","0.6427855711422845","0.7209418837675351"
"triangle-powerlaw-clustered-1000-unclustered-1000-1","finished","-","niklasdewally","","2023-05-30T10:48:15.000Z","544","","powerlaw","triangle","clustered","unclustered","1000","1000","28","-12.225601196289062","-0.447773277759552","0.6643286573146293","0.6337675350701403"
"triangle-powerlaw-clustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-05-30T10:35:29.000Z","764","","powerlaw","triangle","clustered","unclustered","1000","1000","45","-12.658349990844728","-0.6378118395805359","0.6988977955911824","0.7044088176352705"
"triangle-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-30T10:35:13.000Z","14","","powerlaw","triangle","unclustered","clustered","100","1000","10","-1.8394837379455569","1.1775600910186768","0.6683673469387755","0.5766533066132264"
"triangle-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-30T10:34:55.000Z","16","","powerlaw","triangle","unclustered","clustered","100","1000","13","-2.4035091400146484","0.12982815504074097","0.6071428571428571","0.5050100200400801"
"triangle-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-30T10:34:32.000Z","21","","powerlaw","triangle","unclustered","clustered","100","1000","28","-2.2204959392547607","-0.9119645953178406","0.7040816326530612","0.5811623246492986"
"triangle-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-30T10:34:00.000Z","30","","powerlaw","triangle","clustered","unclustered","100","1000","18","-1.4386348724365234","-0.44637683033943176","0.7346938775510204","0.4909819639278557"
"triangle-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-30T10:33:06.000Z","52","","powerlaw","triangle","clustered","unclustered","100","1000","45","-1.8565986156463623","-0.439839243888855","0.673469387755102","0.6317635270541082"
"triangle-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-30T10:32:15.000Z","49","","powerlaw","triangle","clustered","unclustered","100","1000","41","-1.6157994270324707","-0.6091595888137817","0.8010204081632653","0.6432865731462926"
"egi-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-30T10:31:56.000Z","17","","powerlaw","egi","unclustered","clustered","100","1000","6","-0.23481865227222443","-0.14287137985229492","0.6836734693877551","0.6317635270541082"
"egi-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-30T10:31:43.000Z","11","","powerlaw","egi","unclustered","clustered","100","1000","0","-0.4039510190486908","0.6422271132469177","0.6581632653061225","0.62374749498998"
"egi-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-30T10:31:20.000Z","21","","powerlaw","egi","unclustered","clustered","100","1000","14","-0.15750734508037567","0.07507345825433731","0.5714285714285714","0.62374749498998"
"egi-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-30T10:31:06.000Z","12","","powerlaw","egi","clustered","unclustered","100","1000","0","-0.3627976179122925","0.02303975075483322","0.7040816326530612","0.6087174348697395"
"egi-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-30T10:30:52.000Z","11","","powerlaw","egi","clustered","unclustered","100","1000","2","-0.475297212600708","0.2173059582710266","0.7244897959183674","0.625250501002004"
"egi-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-30T10:30:17.000Z","33","","powerlaw","egi","clustered","unclustered","100","1000","37","-0.746306300163269","-0.34602612257003784","0.7959183673469388","0.5621242484969939"
"egi-powerlaw-unclustered-100-clustered-100-2","finished","-","niklasdewally","","2023-05-30T10:30:00.000Z","15","","powerlaw","egi","unclustered","clustered","100","100","8","-0.5621076822280884","1.142780303955078","0.6326530612244898","0.7040816326530612"
"egi-powerlaw-unclustered-100-clustered-100-1","finished","-","niklasdewally","","2023-05-30T10:29:17.000Z","41","","powerlaw","egi","unclustered","clustered","100","100","50","-0.5717008113861084","-0.5054340362548828","0.7602040816326531","0.6428571428571429"
"egi-powerlaw-unclustered-100-clustered-100-0","finished","-","niklasdewally","","2023-05-30T10:28:50.000Z","25","","powerlaw","egi","unclustered","clustered","100","100","27","-0.2468205988407135","-0.015926191583275795","0.7142857142857143","0.7397959183673469"
"egi-powerlaw-clustered-100-unclustered-100-2","finished","-","niklasdewally","","2023-05-30T10:28:26.000Z","21","","powerlaw","egi","clustered","unclustered","100","100","20","-0.7780208587646484","-0.30816832184791565","0.7653061224489796","0.6836734693877551"
"egi-powerlaw-clustered-100-unclustered-100-1","finished","-","niklasdewally","","2023-05-30T10:27:58.000Z","25","","powerlaw","egi","clustered","unclustered","100","100","29","-0.6538265347480774","0.2146700620651245","0.7704081632653061","0.6683673469387755"
"egi-powerlaw-clustered-100-unclustered-100-0","finished","-","niklasdewally","","2023-05-30T10:27:31.000Z","25","","powerlaw","egi","clustered","unclustered","100","100","26","-1.0321394205093384","-0.20762312412261963","0.8418367346938775","0.6989795918367347"
"triangle-powerlaw-unclustered-100-clustered-100-2","finished","-","niklasdewally","","2023-05-30T10:27:14.000Z","15","","powerlaw","triangle","unclustered","clustered","100","100","7","-1.96049165725708","-1.136722445487976","0.6989795918367347","0.6428571428571429"
"triangle-powerlaw-unclustered-100-clustered-100-1","finished","-","niklasdewally","","2023-05-30T10:26:54.000Z","18","","powerlaw","triangle","unclustered","clustered","100","100","19","-2.5181784629821777","-0.7570699453353882","0.6785714285714286","0.5918367346938775"
"triangle-powerlaw-unclustered-100-clustered-100-0","finished","-","niklasdewally","","2023-05-30T10:26:38.000Z","14","","powerlaw","triangle","unclustered","clustered","100","100","10","-2.5014736652374268","-1.114207148551941","0.6428571428571429","0.7193877551020408"
"triangle-powerlaw-clustered-100-unclustered-100-2","finished","-","niklasdewally","","2023-05-30T10:25:58.000Z","38","","powerlaw","triangle","clustered","unclustered","100","100","28","-1.5697827339172363","-0.3421175479888916","0.7806122448979592","0.5204081632653061"
"triangle-powerlaw-clustered-100-unclustered-100-1","finished","-","niklasdewally","","2023-05-30T10:25:35.000Z","21","","powerlaw","triangle","clustered","unclustered","100","100","8","-1.1913646459579468","-0.3503766655921936","0.7040816326530612","0.6581632653061225"
"triangle-powerlaw-clustered-100-unclustered-100-0","finished","-","niklasdewally","","2023-05-30T10:25:04.000Z","28","","powerlaw","triangle","clustered","unclustered","100","100","14","-1.2352209091186523","-0.007131040096282959","0.7653061224489796","0.6224489795918368"
"triangle-powerlaw-clustered-1000-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T22:50:05.000Z","2213","","powerlaw","triangle","clustered","unclustered","1000","1000","81","-12.77988624572754","-0.7060176134109497","0.6127254509018036","0.6508016032064128"
"triangle-powerlaw-clustered-1000-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T22:41:02.000Z","541","","powerlaw","triangle","clustered","unclustered","1000","1000","10","-8.85223388671875","-0.40400752425193787","0.6628256513026052","0.6713426853707415"
"triangle-powerlaw-clustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T22:30:31.000Z","629","","powerlaw","triangle","clustered","unclustered","1000","1000","14","-9.510161399841309","-0.4885711073875427","0.6908817635270541","0.6768537074148296"
"egi-powerlaw-unclustered-1000-clustered-1000-2","finished","-","niklasdewally","","2023-05-29T22:23:40.000Z","408","","powerlaw","egi","unclustered","clustered","1000","1000","31","-0.8031777143478394","-0.0521358847618103","0.6963927855711423","0.7074148296593187"
"egi-powerlaw-unclustered-1000-clustered-1000-1","finished","-","niklasdewally","","2023-05-29T22:10:16.000Z","801","","powerlaw","egi","unclustered","clustered","1000","1000","73","0.000024139444576576352","-5.963374860584736e-8","0.6958917835671342","0.7144288577154309"
"egi-powerlaw-unclustered-1000-clustered-1000-0","finished","-","niklasdewally","","2023-05-29T22:06:21.000Z","233","","powerlaw","egi","unclustered","clustered","1000","1000","13","0.00837042648345232","0.00033812224864959717","0.7029058116232465","0.6472945891783567"
"egi-powerlaw-clustered-1000-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T22:03:23.000Z","176","","powerlaw","egi","clustered","unclustered","1000","1000","7","-0.5396420359611511","0.003155827522277832","0.6948897795591182","0.7379759519038076"
"egi-powerlaw-clustered-1000-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T21:56:54.000Z","387","","powerlaw","egi","clustered","unclustered","1000","1000","33","-1.0205408334732056","-0.04703634977340698","0.6843687374749499","0.7354709418837675"
"egi-powerlaw-clustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T21:54:24.000Z","148","","powerlaw","egi","clustered","unclustered","1000","1000","7","-0.185786634683609","0.0030455365777015686","0.7039078156312625","0.7064128256513026"
"triangle-powerlaw-unclustered-100-clustered-100-2","finished","-","niklasdewally","","2023-05-29T21:54:02.000Z","20","","powerlaw","triangle","unclustered","clustered","100","100","11","-2.2721142768859863","-0.9370007514953612","0.6683673469387755","0.6632653061224489"
"triangle-powerlaw-unclustered-100-clustered-100-1","finished","-","niklasdewally","","2023-05-29T21:53:45.000Z","15","","powerlaw","triangle","unclustered","clustered","100","100","10","-1.0526041984558103","-1.0886468887329102","0.6377551020408163","0.6020408163265306"
"triangle-powerlaw-unclustered-100-clustered-100-0","finished","-","niklasdewally","","2023-05-29T21:53:20.000Z","22","","powerlaw","triangle","unclustered","clustered","100","100","13","-2.569857597351074","0.9252942204475404","0.6224489795918368","0.6530612244897959"
"triangle-powerlaw-clustered-100-unclustered-100-2","finished","-","niklasdewally","","2023-05-29T21:52:34.000Z","44","","powerlaw","triangle","clustered","unclustered","100","100","21","-1.0709288120269775","-0.5688705444335938","0.7908163265306123","0.49489795918367346"
"triangle-powerlaw-clustered-100-unclustered-100-1","finished","-","niklasdewally","","2023-05-29T21:51:38.000Z","54","","powerlaw","triangle","clustered","unclustered","100","100","24","-1.1998268365859983","0.41699859499931335","0.7551020408163265","0.6479591836734694"
"triangle-powerlaw-clustered-100-unclustered-100-0","finished","-","niklasdewally","","2023-05-29T21:49:55.000Z","101","","powerlaw","triangle","clustered","unclustered","100","100","62","-1.8795562982559204","-0.3368992805480957","0.7857142857142857","0.6836734693877551"
"egi-powerlaw-unclustered-100-clustered-100-2","finished","-","niklasdewally","","2023-05-29T21:49:32.000Z","21","","powerlaw","egi","unclustered","clustered","100","100","9","-0.26543688774108887","0.4502326250076294","0.5510204081632653","0.7193877551020408"
"egi-powerlaw-unclustered-100-clustered-100-1","finished","-","niklasdewally","","2023-05-29T21:49:11.000Z","18","","powerlaw","egi","unclustered","clustered","100","100","2","-0.5146936178207397","0.20436188578605652","0.7244897959183674","0.7448979591836735"
"egi-powerlaw-unclustered-100-clustered-100-0","finished","-","niklasdewally","","2023-05-29T21:48:42.000Z","27","","powerlaw","egi","unclustered","clustered","100","100","14","-0.19090446829795835","0.6870833039283752","0.6581632653061225","0.6683673469387755"
"egi-powerlaw-clustered-100-unclustered-100-2","finished","-","niklasdewally","","2023-05-29T21:48:11.000Z","29","","powerlaw","egi","clustered","unclustered","100","100","14","-0.10319018363952635","0.3196144104003906","0.7704081632653061","0.7142857142857143"
"egi-powerlaw-clustered-100-unclustered-100-1","finished","-","niklasdewally","","2023-05-29T21:47:53.000Z","16","","powerlaw","egi","clustered","unclustered","100","100","1","-0.29637712240219116","0.6759189367294312","0.6887755102040817","0.6683673469387755"
"egi-powerlaw-clustered-100-unclustered-100-0","finished","-","niklasdewally","","2023-05-29T21:47:22.000Z","29","","powerlaw","egi","clustered","unclustered","100","100","22","-1.0114686489105225","-0.3194485902786255","0.7602040816326531","0.5"
"egi-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-29T21:47:04.000Z","16","","powerlaw","egi","unclustered","clustered","100","1000","1","-0.3564256429672241","0.9530029296875","0.7346938775510204","0.6322645290581163"
"egi-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-29T21:46:31.000Z","31","","powerlaw","egi","unclustered","clustered","100","1000","16","-0.4005843997001648","0.10671843588352203","0.7295918367346939","0.6282565130260521"
"egi-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-29T21:46:01.000Z","28","","powerlaw","egi","unclustered","clustered","100","1000","15","-0.47332245111465454","-0.08821235597133636","0.6326530612244898","0.6167334669338678"
"egi-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T21:45:20.000Z","39","","powerlaw","egi","clustered","unclustered","100","1000","29","-0.9732388257980348","-0.26160818338394165","0.7346938775510204","0.5801603206412825"
"egi-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T21:44:49.000Z","29","","powerlaw","egi","clustered","unclustered","100","1000","14","-0.642853319644928","-0.06919745355844498","0.7653061224489796","0.6177354709418837"
"egi-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T21:43:55.000Z","52","","powerlaw","egi","clustered","unclustered","100","1000","43","-1.0179014205932615","-0.3414137661457062","0.8214285714285714","0.6162324649298597"
"triangle-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-29T21:43:20.000Z","33","","powerlaw","triangle","unclustered","clustered","100","1000","31","-2.303797721862793","-0.7074371576309204","0.6632653061224489","0.5711422845691383"
"triangle-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-29T21:42:49.000Z","28","","powerlaw","triangle","unclustered","clustered","100","1000","25","-2.1907877922058105","-1.321918249130249","0.6377551020408163","0.6513026052104208"
"triangle-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-29T21:42:22.000Z","25","","powerlaw","triangle","unclustered","clustered","100","1000","13","-2.230454921722412","-0.0714573860168457","0.6632653061224489","0.6057114228456913"
"triangle-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T21:41:31.000Z","49","","powerlaw","triangle","clustered","unclustered","100","1000","20","-1.4066078662872314","-0.625617265701294","0.7397959183673469","0.5876753507014028"
"triangle-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T21:40:59.000Z","30","","powerlaw","triangle","clustered","unclustered","100","1000","5","-1.002958059310913","-0.1615203320980072","0.6683673469387755","0.5195390781563126"
"triangle-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T21:40:15.000Z","42","","powerlaw","triangle","clustered","unclustered","100","1000","13","-1.3513667583465576","-0.15169614553451538","0.6836734693877551","0.6317635270541082"
"triangle-powerlaw-clustered-1000-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T21:24:59.000Z","412","","powerlaw","triangle","clustered","unclustered","1000","1000","4","-6.39592981338501","-0.512725830078125","0.6708416833667334","0.685871743486974"
"triangle-powerlaw-clustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T21:10:56.000Z","841","","powerlaw","triangle","clustered","unclustered","1000","1000","23","-8.91872787475586","-0.3625489473342895","0.6477955911823647","0.6427855711422845"
"triangle-powerlaw-unclustered-100-clustered-100-2","finished","-","niklasdewally","","2023-05-29T21:10:27.000Z","27","","powerlaw","triangle","unclustered","clustered","100","100","17","-2.2930727005004883","-1.1343485116958618","0.6632653061224489","0.6836734693877551"
"triangle-powerlaw-unclustered-100-clustered-100-1","finished","-","niklasdewally","","2023-05-29T21:10:03.000Z","22","","powerlaw","triangle","unclustered","clustered","100","100","14","-2.1089816093444824","-1.202019453048706","0.5714285714285714","0.6836734693877551"
"triangle-powerlaw-unclustered-100-clustered-100-0","finished","-","niklasdewally","","2023-05-29T21:09:44.000Z","17","","powerlaw","triangle","unclustered","clustered","100","100","6","-2.1868667602539062","0.8401293754577637","0.6989795918367347","0.7244897959183674"
"triangle-powerlaw-clustered-100-unclustered-100-2","finished","-","niklasdewally","","2023-05-29T21:09:06.000Z","36","","powerlaw","triangle","clustered","unclustered","100","100","11","-0.9400479793548584","-0.33098652958869934","0.8163265306122449","0.6479591836734694"
"triangle-powerlaw-clustered-100-unclustered-100-1","finished","-","niklasdewally","","2023-05-29T21:08:29.000Z","35","","powerlaw","triangle","clustered","unclustered","100","100","11","-1.0985777378082275","-0.08245180547237396","0.6836734693877551","0.7142857142857143"
"triangle-powerlaw-clustered-100-unclustered-100-0","finished","-","niklasdewally","","2023-05-29T21:07:51.000Z","36","","powerlaw","triangle","clustered","unclustered","100","100","11","-0.7709581851959229","-0.1197769045829773","0.7142857142857143","0.5663265306122449"
"egi-powerlaw-unclustered-1000-clustered-1000-2","finished","-","niklasdewally","","2023-05-29T20:57:40.000Z","609","","powerlaw","egi","unclustered","clustered","1000","1000","48","-1.0941911935806274","-0.06485147774219513","0.688376753507014","0.7019038076152304"
"egi-powerlaw-unclustered-1000-clustered-1000-1","finished","-","niklasdewally","","2023-05-29T20:55:09.000Z","149","","powerlaw","egi","unclustered","clustered","1000","1000","2","-0.39916563034057617","-0.04566334933042526","0.6202404809619239","0.6477955911823647"
"egi-powerlaw-unclustered-1000-clustered-1000-0","finished","-","niklasdewally","","2023-05-29T20:52:19.000Z","168","","powerlaw","egi","unclustered","clustered","1000","1000","4","-0.5017739534378052","0.033638015389442444","0.6508016032064128","0.6282565130260521"
"egi-powerlaw-clustered-1000-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T20:41:47.000Z","630","","powerlaw","egi","clustered","unclustered","1000","1000","53","-1.5615620613098145","-0.1060994118452072","0.7264529058116233","0.7214428857715431"
"egi-powerlaw-clustered-1000-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T20:38:36.000Z","189","","powerlaw","egi","clustered","unclustered","1000","1000","7","-0.30029046535491943","-0.032062653452157974","0.657314629258517","0.7389779559118237"
"egi-powerlaw-clustered-1000-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T20:32:44.000Z","350","","powerlaw","egi","clustered","unclustered","1000","1000","24","-1.0627593994140625","-0.024685952812433243","0.7029058116232465","0.7024048096192385"
"triangle-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-29T20:32:11.000Z","31","","powerlaw","triangle","unclustered","clustered","100","1000","27","-1.9314582347869873","-0.6018083691596985","0.6275510204081632","0.5220440881763527"
"triangle-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-29T20:31:39.000Z","30","","powerlaw","triangle","unclustered","clustered","100","1000","27","-2.432353973388672","-0.5462523102760315","0.6122448979591837","0.5791583166332666"
"triangle-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-29T20:31:14.000Z","23","","powerlaw","triangle","unclustered","clustered","100","1000","12","-2.428628206253052","-0.162539541721344","0.7142857142857143","0.5741482965931863"
"triangle-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T20:30:41.000Z","31","","powerlaw","triangle","clustered","unclustered","100","1000","8","-1.4541940689086914","0.8939797282218933","0.7142857142857143","0.6402805611222445"
"triangle-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T20:29:48.000Z","50","","powerlaw","triangle","clustered","unclustered","100","1000","22","-1.5102031230926514","0.4656466245651245","0.7653061224489796","0.6092184368737475"
"triangle-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T20:29:09.000Z","37","","powerlaw","triangle","clustered","unclustered","100","1000","12","-1.189823865890503","-0.05827005207538605","0.7091836734693877","0.6352705410821643"
"egi-powerlaw-unclustered-100-clustered-100-2","finished","-","niklasdewally","","2023-05-29T20:28:29.000Z","38","","powerlaw","egi","unclustered","clustered","100","100","27","-0.45253729820251465","-0.010177373886108398","0.6836734693877551","0.7040816326530612"
"egi-powerlaw-unclustered-100-clustered-100-1","finished","-","niklasdewally","","2023-05-29T20:28:06.000Z","21","","powerlaw","egi","unclustered","clustered","100","100","12","-0.3342963755130768","-0.2277698516845703","0.6122448979591837","0.6632653061224489"
"egi-powerlaw-unclustered-100-clustered-100-0","finished","-","niklasdewally","","2023-05-29T20:27:49.000Z","15","","powerlaw","egi","unclustered","clustered","100","100","1","-0.2055339515209198","0.004739910364151001","0.5714285714285714","0.6020408163265306"
"egi-powerlaw-clustered-100-unclustered-100-2","finished","-","niklasdewally","","2023-05-29T20:27:16.000Z","30","","powerlaw","egi","clustered","unclustered","100","100","17","-0.7390173673629761","-0.19199654459953308","0.7551020408163265","0.6887755102040817"
"egi-powerlaw-clustered-100-unclustered-100-1","finished","-","niklasdewally","","2023-05-29T20:26:37.000Z","37","","powerlaw","egi","clustered","unclustered","100","100","23","-1.0596871376037598","-0.22744694352149963","0.8163265306122449","0.6632653061224489"
"egi-powerlaw-clustered-100-unclustered-100-0","finished","-","niklasdewally","","2023-05-29T20:26:16.000Z","19","","powerlaw","egi","clustered","unclustered","100","100","5","-0.5397536754608154","0.07024344056844711","0.6887755102040817","0.6836734693877551"
"egi-powerlaw-unclustered-100-clustered-1000-2","finished","-","niklasdewally","","2023-05-29T20:25:51.000Z","23","","powerlaw","egi","unclustered","clustered","100","1000","7","-0.2942485511302948","0.0763375386595726","0.6479591836734694","0.6412825651302605"
"egi-powerlaw-unclustered-100-clustered-1000-1","finished","-","niklasdewally","","2023-05-29T20:25:26.000Z","23","","powerlaw","egi","unclustered","clustered","100","1000","7","-0.24033021926879883","0.09725800156593324","0.5969387755102041","0.5781563126252505"
"egi-powerlaw-unclustered-100-clustered-1000-0","finished","-","niklasdewally","","2023-05-29T20:25:05.000Z","19","","powerlaw","egi","unclustered","clustered","100","1000","4","-0.4030277729034424","0.06025051325559616","0.6632653061224489","0.6217434869739479"
"egi-powerlaw-clustered-100-unclustered-1000-2","finished","-","niklasdewally","","2023-05-29T20:24:31.000Z","32","","powerlaw","egi","clustered","unclustered","100","1000","20","-0.8574492931365967","-0.06996060907840729","0.7346938775510204","0.5435871743486974"
"egi-powerlaw-clustered-100-unclustered-1000-1","finished","-","niklasdewally","","2023-05-29T20:24:10.000Z","19","","powerlaw","egi","clustered","unclustered","100","1000","5","-0.5428383946418762","-0.35834383964538574","0.6785714285714286","0.6057114228456913"
"egi-powerlaw-clustered-100-unclustered-1000-0","finished","-","niklasdewally","","2023-05-29T20:23:03.000Z","65","","powerlaw","egi","clustered","unclustered","100","1000","56","-1.1368695497512815","-0.5278410911560059","0.7346938775510204","0.6332665330661322"